semana_epi,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,38,39,40,42,43,44,45,46,47,48,49,51
1,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
2,0,1,2,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5
3,0,1,0,1,0,1,0,0,1,0,0,1,1,3,0,0,0,0,2,2,0,2,0,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4,0,2,1,2,0,1,4,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,3,1,3,0,3,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2
5,5,5,6,1,0,1,1,0,1,1,0,0,3,3,0,0,0,1,3,0,0,0,4,2,0,0,1,4,1,5,1,3,0,0,0,1,0,0,3,1,3,1,0,0,0,0,0
6,7,5,6,9,2,0,1,1,2,1,0,0,5,1,0,1,0,5,0,1,0,1,2,0,4,0,7,1,0,1,3,3,0,1,1,0,0,0,2,4,8,0,1,0,0,0,0
7,22,6,20,24,0,0,4,1,11,3,1,1,2,0,0,1,0,4,2,3,5,0,6,2,5,1,5,8,1,7,1,2,0,1,2,5,0,0,0,3,5,2,0,0,0,1,0
8,16,24,19,22,4,2,5,5,5,4,1,3,12,1,0,3,0,7,6,4,7,4,23,2,4,2,2,5,9,13,3,6,0,1,3,9,0,0,8,1,15,0,1,1,0,0,1
9,36,16,32,21,2,2,4,10,22,9,0,14,27,4,0,5,0,16,7,7,15,0,29,7,9,3,7,12,11,21,1,3,0,1,4,12,1,0,12,9,19,4,2,0,0,1,1
10,45,23,48,51,7,3,5,7,26,11,0,0,46,6,1,8,0,13,2,5,7,4,21,17,11,6,10,19,15,26,6,8,0,0,8,16,1,0,17,22,24,2,0,5,0,0,1
11,58,53,57,57,2,2,19,29,46,17,2,15,65,11,0,26,1,10,11,10,16,5,51,16,26,9,12,39,24,53,26,16,0,4,5,37,7,0,31,19,40,1,1,3,0,0,0
12,36,38,56,37,5,6,24,25,56,25,1,20,55,11,0,22,0,25,19,11,16,16,62,26,39,10,12,31,29,33,17,8,2,4,15,31,5,1,57,19,50,8,1,3,0,2,3
13,39,21,71,43,5,6,17,41,68,20,0,18,73,5,0,7,2,29,8,8,21,14,54,28,40,11,11,27,33,54,17,12,1,2,12,29,4,0,30,37,23,3,0,6,1,0,4
14,61,50,67,65,6,9,16,41,86,23,1,11,83,11,0,20,3,26,22,25,17,15,44,33,43,10,23,58,48,47,24,9,1,1,9,46,7,0,26,22,45,2,1,7,0,1,0
