ZT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,38,39,40,42,43,44,45,46,47,48,49,51
1,12551.0,8033.0,4295.0,2859.0,3332.0,9223.0,7266.0,5575.0,9510.0,3466.0,1724.0,2666.0,9265.0,6731.0,468.0,5539.0,1713.0,2856.0,2738.0,4564.0,2677.0,3496.0,7632.0,1619.0,9132.0,1625.0,1255.0,3334.0,4714.0,5734.0,5527.0,3807.0,292.0,3082.0,1498.0,1780.0,1191.0,482.0,4560.0,4545.0,9884.0,500.0,0.0,1956.0,896.0,516.0,175.0
2,8033.0,7455.0,1194.0,301.0,925.0,2339.0,3636.0,3441.0,2095.0,388.0,289.0,392.0,3254.0,2389.0,106.0,180.0,728.0,1116.0,202.0,200.0,102.0,777.0,527.0,200.0,1086.0,356.0,299.0,45.0,1896.0,873.0,588.0,1404.0,34.0,1322.0,317.0,428.0,1029.0,120.0,500.0,136.0,881.0,642.0,222.0,439.0,208.0,69.0,73.0
3,4295.0,1194.0,4170.0,2562.0,2109.0,600.0,894.0,553.0,2003.0,1940.0,399.0,391.0,1087.0,550.0,3.0,403.0,473.0,818.0,542.0,774.0,416.0,1597.0,431.0,0.0,756.0,0.0,74.0,726.0,422.0,607.0,262.0,725.0,64.0,245.0,21.0,90.0,38.0,124.0,929.0,606.0,896.0,95.0,0.0,40.0,0.0,246.0,44.0
4,2859.0,301.0,2562.0,2817.0,322.0,766.0,820.0,164.0,660.0,117.0,164.0,110.0,546.0,274.0,27.0,0.0,0.0,110.0,54.0,96.0,54.0,693.0,0.0,66.0,246.0,0.0,0.0,82.0,0.0,301.0,110.0,110.0,0.0,110.0,54.0,0.0,38.0,16.0,410.0,0.0,54.0,0.0,0.0,0.0,0.0,18.0,0.0
5,3332.0,925.0,2109.0,322.0,1382.0,1533.0,1185.0,501.0,1320.0,913.0,785.0,816.0,1115.0,973.0,234.0,90.0,40.0,700.0,450.0,290.0,182.0,968.0,1530.0,166.0,759.0,288.0,50.0,148.0,210.0,1248.0,429.0,589.0,113.0,317.0,211.0,90.0,78.0,55.0,1233.0,542.0,440.0,48.0,98.0,279.0,0.0,66.0,0.0
6,9223.0,2339.0,600.0,766.0,1533.0,5654.0,9912.0,837.0,1506.0,836.0,880.0,1434.0,2307.0,5961.0,451.0,854.0,503.0,405.0,528.0,290.0,352.0,1787.0,1058.0,233.0,2728.0,910.0,370.0,752.0,1400.0,2679.0,1297.0,1268.0,7.0,1047.0,42.0,203.0,97.0,101.0,743.0,502.0,941.0,142.0,0.0,80.0,180.0,39.0,0.0
7,7266.0,3636.0,894.0,820.0,1185.0,9912.0,8334.0,1846.0,1876.0,600.0,1474.0,658.0,5399.0,9020.0,1696.0,1139.0,162.0,602.0,557.0,642.0,429.0,1922.0,581.0,200.0,2637.0,681.0,691.0,1880.0,843.0,2147.0,1718.0,2617.0,593.0,3419.0,232.0,180.0,154.0,24.0,203.0,203.0,1430.0,48.0,0.0,160.0,232.0,116.0,0.0
8,5575.0,3441.0,553.0,164.0,501.0,837.0,1846.0,11188.0,1517.0,117.0,43.0,494.0,1797.0,890.0,6.0,4129.0,2335.0,937.0,512.0,194.0,105.0,442.0,494.0,66.0,122.0,714.0,74.0,564.0,0.0,1356.0,1632.0,226.0,188.0,482.0,1529.0,1149.0,633.0,54.0,287.0,136.0,853.0,48.0,111.0,120.0,90.0,13.0,58.0
9,9510.0,2095.0,2003.0,660.0,1320.0,1506.0,1876.0,1517.0,10952.0,434.0,1108.0,221.0,1535.0,2649.0,6.0,986.0,316.0,9974.0,1224.0,2249.0,1274.0,1481.0,913.0,233.0,2458.0,158.0,317.0,696.0,737.0,1334.0,1442.0,956.0,431.0,1328.0,168.0,293.0,251.0,960.0,4011.0,1743.0,3417.0,832.0,0.0,280.0,313.0,472.0,132.0
10,3466.0,388.0,1940.0,117.0,913.0,836.0,600.0,117.0,434.0,6751.0,194.0,752.0,620.0,544.0,20.0,78.0,232.0,156.0,156.0,0.0,0.0,4638.0,78.0,66.0,311.0,237.0,0.0,0.0,0.0,232.0,117.0,438.0,39.0,212.0,0.0,68.0,0.0,32.0,155.0,0.0,628.0,0.0,0.0,0.0,0.0,86.0,30.0
